"Wavelength, µm","n","k"
0.017586,0.9346,0.0925
0.017712,0.9343,0.0942
0.017839,0.9334,0.0959
0.017969,0.933,0.0975
0.0181,0.9322,0.0998
0.018233,0.9318,0.1014
0.018368,0.9311,0.1042
0.018505,0.9308,0.1064
0.018644,0.9305,0.1091
0.018785,0.9298,0.1119
0.018929,0.9296,0.1146
0.019074,0.9299,0.1172
0.019222,0.9298,0.1205
0.019373,0.9303,0.1242
0.019525,0.9307,0.1273
0.01968,0.9312,0.131
0.019837,0.9323,0.1346
0.019997,0.9339,0.1381
0.02016,0.935,0.1422
0.020325,0.9372,0.1462
0.020493,0.9393,0.1496
0.020664,0.9421,0.1534
0.020838,0.9453,0.1571
0.021014,0.9485,0.1603
0.021194,0.9522,0.1633
0.021377,0.9563,0.1657
0.021562,0.9604,0.1687
0.021752,0.9649,0.1705
0.021944,0.9698,0.1717
0.02214,0.9746,0.1729
0.022339,0.9794,0.1736
0.022543,0.984,0.1738
0.022749,0.9884,0.173
0.02296,0.9928,0.1722
0.023175,0.9971,0.171
0.023393,1.0008,0.1694
0.023616,1.004,0.1673
0.023843,1.0071,0.1648
0.024075,1.0092,0.1625
0.024311,1.0113,0.1602
0.024551,1.0128,0.1575
0.024797,1.0134,0.1549
0.025047,1.0141,0.1528
0.025303,1.0138,0.1509
0.025564,1.0135,0.149
0.02583,1.0128,0.1476
0.026102,1.0112,0.1469
0.02638,1.0102,0.1465
0.026663,1.0087,0.1467
0.026953,1.0069,0.1475
0.027249,1.0051,0.1492
0.027552,1.004,0.1519
0.027862,1.0035,0.155
0.028178,1.0031,0.159
0.028502,1.0038,0.1634
0.028834,1.0062,0.1685
0.029173,1.0096,0.1738
0.02952,1.0148,0.1784
0.029876,1.0219,0.1825
0.03024,1.0301,0.1849
0.030613,1.0394,0.1852
0.030996,1.0491,0.1835
0.031388,1.0583,0.1791
0.031791,1.0662,0.1726
0.032204,1.0729,0.1645
0.032627,1.0771,0.1551
0.033062,1.079,0.1455
0.033509,1.0796,0.1362
0.033968,1.0785,0.127
0.03444,1.0757,0.1185
0.034925,1.0716,0.111
0.035424,1.0667,0.1041
0.035937,1.0614,0.098
0.036466,1.0548,0.0924
0.03701,1.0482,0.0878
0.037571,1.0407,0.0841
0.038149,1.0327,0.0809
0.038745,1.0238,0.0786
0.03936,1.0144,0.0774
0.039995,1.0039,0.0767
0.040651,0.9925,0.0781
0.041328,0.9791,0.0812
0.042029,0.9642,0.0882
0.042753,0.9483,0.1018
0.043503,0.9362,0.1282
0.04428,0.9463,0.1686
0.045085,0.9961,0.1852
0.04592,1.0292,0.1491
0.046786,1.0206,0.1127
0.047686,0.9964,0.0943
0.048621,0.9664,0.0895
0.049594,0.9275,0.1013
0.050606,0.8815,0.1792
0.05166,1.0682,0.228
0.052759,1.0416,0.0998
0.053906,0.9964,0.0768
0.055104,0.9655,0.0715
0.056356,0.9413,0.0712
0.057667,0.9194,0.0729
0.05904,0.8982,0.0763
0.06048,0.8767,0.081
0.061992,0.8553,0.0865
0.063582,0.8323,0.0937
0.065255,0.8078,0.1027
0.067018,0.7823,0.1138
0.06888,0.7538,0.1274
0.070848,0.7238,0.1444
0.072932,0.6911,0.1664
0.075142,0.657,0.1941
0.07749,0.6217,0.2292
0.07999,0.5871,0.2734
0.082656,0.5564,0.328
0.085506,0.534,0.3914
0.08856,0.5224,0.4614
0.09184,0.5235,0.533
0.095372,0.5355,0.6023
0.099187,0.5575,0.6655
0.10332,0.5846,0.7202
0.107812,0.6117,0.7643
0.112713,0.6325,0.8
0.11808,0.6415,0.834
0.123984,0.6377,0.875
0.13051,0.6262,0.9318
0.13776,0.6167,1.0086
0.145864,0.6194,1.1035
0.15498,0.6412,1.2071
0.165312,0.6821,1.3085
0.17712,0.7333,1.3971
0.190745,0.7759,1.4687
0.20664,0.7855,1.5411
0.225426,0.7592,1.6557
0.247968,0.7384,1.8494
0.261019,0.7531,1.9726
0.27552,0.7957,2.0988
0.291728,0.8646,2.2062
0.30996,0.9366,2.2688
0.330625,0.9567,2.285
0.354241,0.8736,2.3124
0.38149,0.7056,2.4392
0.413281,0.5279,2.7003
0.450852,0.3908,3.0716
0.495937,0.3011,3.5288
0.551041,0.2486,4.0731
0.619921,0.2248,4.7284
0.708481,0.2262,5.5426
0.826561,0.2557,6.5979
0.991874,0.3266,8.0421
1.239842,0.4756,10.1689
1.653123,0.8132,13.6558
2.479684,1.7826,20.4906
