"Wavelength, µm","n","k"
0.190654,1.793462,0.790551
0.192245,1.793433,0.79531
0.193836,1.794053,0.800597
0.195427,1.795339,0.806342
0.197018,1.797305,0.812479
0.198609,1.799957,0.818942
0.2002,1.803299,0.825667
0.201791,1.80733,0.832597
0.203382,1.812044,0.839673
0.204973,1.817434,0.846841
0.206564,1.823488,0.854051
0.208156,1.830193,0.861254
0.209747,1.837534,0.868405
0.211338,1.845493,0.875461
0.21293,1.85405,0.882384
0.214522,1.863186,0.889136
0.216113,1.87288,0.895682
0.217705,1.883108,0.901991
0.219297,1.893848,0.908032
0.220888,1.905076,0.913779
0.22248,1.916768,0.919205
0.224072,1.9289,0.924286
0.225664,1.941447,0.929002
0.227256,1.954384,0.933332
0.228848,1.967686,0.937257
0.23044,1.981327,0.940761
0.232033,1.995283,0.943828
0.233625,2.009527,0.946443
0.235217,2.024034,0.948595
0.236809,2.038779,0.950272
0.238402,2.053735,0.951464
0.239994,2.068878,0.952162
0.241587,2.084182,0.952359
0.243179,2.09962,0.952047
0.244772,2.115168,0.951222
0.246365,2.1308,0.94988
0.247957,2.146489,0.948018
0.24955,2.162212,0.945634
0.251143,2.177943,0.942727
0.252736,2.193656,0.939299
0.254329,2.209328,0.935351
0.255922,2.224933,0.930886
0.257515,2.240447,0.925909
0.259108,2.255846,0.920424
0.260701,2.271107,0.914438
0.262294,2.286207,0.907959
0.263887,2.301124,0.900995
0.26548,2.315835,0.893556
0.267073,2.330318,0.885654
0.268667,2.344555,0.877299
0.27026,2.358525,0.868506
0.271853,2.372208,0.859286
0.273447,2.385588,0.849657
0.27504,2.398646,0.839632
0.276634,2.411367,0.829229
0.278227,2.423735,0.818464
0.279821,2.435736,0.807355
0.281414,2.447357,0.795921
0.283008,2.458587,0.78418
0.284602,2.469414,0.772152
0.286195,2.47983,0.759856
0.287789,2.489825,0.747313
0.289383,2.499392,0.734542
0.290977,2.508526,0.721564
0.292571,2.517221,0.708399
0.294165,2.525474,0.695068
0.295758,2.533282,0.68159
0.297352,2.540643,0.667986
0.298946,2.547557,0.654275
0.30054,2.554026,0.640478
0.302134,2.56005,0.626612
0.303729,2.565631,0.612697
0.305323,2.570775,0.598752
0.306917,2.575484,0.584793
0.308511,2.579764,0.570838
0.310105,2.583621,0.556904
0.311699,2.587062,0.543006
0.313294,2.590094,0.52916
0.314888,2.592725,0.515381
0.316482,2.594962,0.501682
0.318077,2.596816,0.488076
0.319671,2.598295,0.474577
0.321265,2.599409,0.461195
0.32286,2.600168,0.447942
0.324454,2.600582,0.434829
0.326049,2.600662,0.421865
0.327643,2.600419,0.409059
0.329237,2.599862,0.396419
0.330832,2.599003,0.383953
0.332427,2.597853,0.371668
0.334021,2.596423,0.35957
0.335616,2.594723,0.347665
0.33721,2.592765,0.335958
0.338805,2.590559,0.324455
0.3404,2.588116,0.313158
0.341994,2.585447,0.302071
0.343589,2.582561,0.291198
0.345184,2.57947,0.280541
0.346778,2.576183,0.270102
0.348373,2.572709,0.259883
0.349968,2.56906,0.249885
0.351563,2.565243,0.240109
0.353157,2.561269,0.230557
0.354752,2.557146,0.221227
0.356347,2.552883,0.21212
0.357942,2.548489,0.203236
0.359536,2.543972,0.194575
0.361131,2.53934,0.186135
0.362726,2.5346,0.177915
0.364321,2.529761,0.169915
0.365916,2.524829,0.162133
0.367511,2.519812,0.154567
0.369106,2.514716,0.147215
0.370701,2.509548,0.140077
0.372295,2.504316,0.133149
0.37389,2.499023,0.12643
0.375485,2.493678,0.119918
0.37708,2.488285,0.11361
0.378675,2.48285,0.107505
0.38027,2.477378,0.101598
0.381865,2.471875,0.095889
0.38346,2.466345,0.090375
0.385055,2.460794,0.085053
0.38665,2.455225,0.079921
0.388245,2.449645,0.074975
0.38984,2.444056,0.070214
0.391435,2.438463,0.065635
0.39303,2.43287,0.061235
0.394625,2.427281,0.057011
0.39622,2.4217,0.052961
0.397815,2.41613,0.049083
0.39941,2.410575,0.045373
0.401005,2.405039,0.041829
0.402599,2.399525,0.038449
0.404194,2.394036,0.03523
0.405789,2.388575,0.032169
0.407384,2.383146,0.029264
0.408979,2.377751,0.026513
0.410574,2.372395,0.023912
0.412169,2.367078,0.02146
0.413764,2.361806,0.019154
0.415359,2.35658,0.016992
0.416954,2.351403,0.014971
0.418549,2.34628,0.013089
0.420144,2.341212,0.011345
0.421739,2.336202,0.009734
0.423334,2.331254,0.008256
0.424929,2.326372,0.006908
0.426523,2.321557,0.005688
0.428118,2.316815,0.004594
0.429713,2.312148,0.003624
0.431308,2.307561,0.002776
0.432903,2.303058,0.002047
0.434498,2.298645,0.001436
0.436093,2.294327,0.000941
0.437687,2.290111,0.000559
0.439282,2.286007,0.000289
0.440877,2.282027,0.000129
0.442472,2.278196,0.000078
0.444066,2.27456,0.000084
0.445661,2.271073,0.000092
0.447256,2.267706,0.0001
0.448851,2.264444,0.000109
0.450445,2.261277,0.000118
0.45204,2.258195,0.000128
0.453635,2.255194,0.00014
0.455229,2.252266,0.000151
0.456824,2.249408,0.000164
0.458419,2.246615,0.000178
0.460013,2.243884,0.000193
0.461608,2.24121,0.000209
0.463202,2.238592,0.000226
0.464797,2.236026,0.000244
0.466391,2.23351,0.000264
0.467986,2.231042,0.000285
0.46958,2.228619,0.000307
0.471175,2.226239,0.000331
0.472769,2.223902,0.000356
0.474363,2.221604,0.000383
0.475958,2.219345,0.000412
0.477552,2.217122,0.000442
0.479146,2.214935,0.000474
0.480741,2.212781,0.000508
0.482335,2.210661,0.000544
0.483929,2.208572,0.000583
0.485523,2.206514,0.000623
0.487117,2.204485,0.000665
0.488712,2.202484,0.00071
0.490306,2.200511,0.000758
0.4919,2.198565,0.000807
0.493494,2.196644,0.00086
0.495088,2.194748,0.000915
0.496682,2.192876,0.000973
0.498276,2.191027,0.001034
0.49987,2.1892,0.001098
0.501464,2.187396,0.001165
0.503058,2.185612,0.001235
0.504651,2.18385,0.001308
0.506245,2.182107,0.001385
0.507839,2.180383,0.001465
0.509433,2.178679,0.001549
0.511026,2.176992,0.001636
0.51262,2.175324,0.001727
0.514214,2.173673,0.001823
0.515807,2.172039,0.001922
0.517401,2.170421,0.002025
0.518994,2.168819,0.002132
0.520588,2.167233,0.002244
0.522181,2.165663,0.00236
0.523774,2.164107,0.00248
0.525368,2.162565,0.002606
0.526961,2.161038,0.002735
0.528554,2.159525,0.00287
0.530148,2.158025,0.003009
0.531741,2.156539,0.003154
0.533334,2.155066,0.003303
0.534927,2.153605,0.003458
0.53652,2.152158,0.003618
0.538113,2.150722,0.003783
0.539706,2.149299,0.003954
0.541299,2.147887,0.00413
0.542892,2.146487,0.004311
0.544484,2.145099,0.004499
