nm,n,k,nm,n,k,nm,n,k
500,1.4676036,0,500,1.91485786,2.38312268,500,2.26632023,0
501,1.46754892,0,501,1.91890097,2.38658738,501,2.26487374,0
502,1.46749452,0,502,1.92093909,2.39098239,502,2.26342726,0
503,1.46744043,0,503,1.92618001,2.39491487,503,2.26198077,0
504,1.4673867,0,504,1.9297266,2.39827347,504,2.26053429,0
505,1.46733321,0,505,1.93069983,2.40154743,505,2.2590878,0
506,1.4672801,0,506,1.93098545,2.40534902,506,2.25764132,0
507,1.46722728,0,507,1.93652475,2.40967631,507,2.25619483,0
508,1.4671748,0,508,1.93871605,2.41160774,508,2.25474834,0
509,1.46712258,0,509,1.94139254,2.41672897,509,2.25330186,0
510,1.46707068,0,510,1.94357121,2.42208481,510,2.25185537,0
511,1.46701906,0,511,1.94670403,2.42438841,511,2.25055754,0
512,1.46696773,0,512,1.94903469,2.42777705,512,2.24925971,0
513,1.46691674,0,513,1.95480704,2.43628073,513,2.24796188,0
514,1.46686602,0,514,1.95785892,2.43890262,514,2.24666405,0
515,1.46681558,0,515,1.95976758,2.43896914,515,2.24536622,0
516,1.46676545,0,516,1.96384513,2.4448061,516,2.24406838,0
517,1.46671558,0,517,1.96548545,2.44905353,517,2.24277055,0
518,1.46666599,0,518,1.96922576,2.45325208,518,2.24147272,0
519,1.46661673,0,519,1.97296596,2.45674968,519,2.24017489,0
520,1.46656772,0,520,1.97555625,2.45956898,520,2.23887706,0
521,1.46651898,0,521,1.97911441,2.46473241,521,2.23809087,0
522,1.46647051,0,522,1.98156106,2.46836209,522,2.23730469,0
523,1.46642231,0,523,1.98353636,2.47185254,523,2.2365185,0
524,1.46637441,0,524,1.98619413,2.47505093,524,2.23573232,0
525,1.4663267,0,525,1.9896847,2.47805214,525,2.23494613,0
526,1.46627934,0,526,1.99212325,2.48358917,526,2.23415995,0
527,1.46623217,0,527,1.99601519,2.48551583,527,2.23337376,0
528,1.46618533,0,528,1.99737215,2.49062347,528,2.23258758,0
529,1.46613874,0,529,2.00221109,2.49413872,529,2.23180139,0
530,1.46609235,0,530,2.00331497,2.49792933,530,2.23101521,0
531,1.46604625,0,531,2.00648403,2.50150967,531,2.22968664,0
532,1.46600038,0,532,2.01062202,2.50553393,532,2.22835808,0
533,1.46595477,0,533,2.01281881,2.50983739,533,2.22702951,0
534,1.4659094,0,534,2.01571417,2.51248288,534,2.22570095,0
535,1.46586431,0,535,2.01904893,2.51586628,535,2.22437239,0
536,1.46581948,0,536,2.02063107,2.52022529,536,2.22304382,0
537,1.46577484,0,537,2.02424264,2.52369618,537,2.22171526,0
538,1.46573043,0,538,2.0267899,2.52732444,538,2.2203867,0
539,1.46568634,0,539,2.02963042,2.53051114,539,2.21905813,0
540,1.4656424,0,540,2.03272748,2.5341301,540,2.21772957,0
541,1.46559873,0,541,2.03526878,2.53916526,541,2.21695387,0
542,1.4655553,0,542,2.03879857,2.54149842,542,2.21617818,0
543,1.46551212,0,543,2.04130101,2.54568243,543,2.21540248,0
544,1.4654691,0,544,2.04479384,2.54835725,544,2.21462679,0
545,1.46542634,0,545,2.04773259,2.5527482,545,2.21385109,0
546,1.4653838,0,546,2.05087924,2.55674148,546,2.2130754,0
547,1.46534154,0,547,2.05333352,2.55905581,547,2.2122997,0
548,1.46529944,0,548,2.05562091,2.56300211,548,2.21152401,0
549,1.46525756,0,549,2.05906701,2.56630898,549,2.21074831,0
550,1.46521593,0,550,2.06225276,2.56970859,550,2.20997262,0
551,1.46517449,0,551,2.06483412,2.57399487,551,2.20933242,0
552,1.46513325,0,552,2.06869292,2.5768261,552,2.20869222,0
553,1.46509227,0,553,2.07064891,2.58028865,553,2.20805202,0
554,1.4650515,0,554,2.07447171,2.58407021,554,2.20741181,0
555,1.46501089,0,555,2.07641912,2.58666253,555,2.20677161,0
556,1.46497051,0,556,2.0796299,2.59134221,556,2.20613141,0
557,1.46493034,0,557,2.0830965,2.59443188,557,2.20549121,0
558,1.46489041,0,558,2.08574891,2.59812212,558,2.20485101,0
559,1.46485062,0,559,2.08860159,2.60109711,559,2.20421081,0
560,1.46481105,0,560,2.0918088,2.60431075,560,2.2035706,0
561,1.46477169,0,561,2.09418893,2.60779905,561,2.20284443,0
562,1.46473256,0,562,2.09752631,2.61139703,562,2.20211825,0
563,1.46469357,0,563,2.09976816,2.61497688,563,2.20139208,0
564,1.46465485,0,564,2.10291028,2.61758256,564,2.2006659,0
565,1.46461627,0,565,2.10605192,2.62183762,565,2.19993973,0
566,1.46457784,0,566,2.10792589,2.62416601,566,2.19921355,0
567,1.46453971,0,567,2.1122272,2.6278913,567,2.19848738,0
568,1.46450167,0,568,2.11309266,2.63205314,568,2.1977612,0
569,1.46446388,0,569,2.1170547,2.63432527,569,2.19703503,0
570,1.46442624,0,570,2.11984563,2.63761425,570,2.19630885,0
571,1.46438879,0,571,2.1233077,2.64147782,571,2.19528484,0
572,1.46435154,0,572,2.12505102,2.64441729,572,2.19426084,0
573,1.46431451,0,573,2.12841153,2.64793062,573,2.19323683,0
574,1.4642776,0,574,2.1327765,2.6515069,574,2.19221282,0
575,1.4642409,0,575,2.13554215,2.65458751,575,2.19118881,0
576,1.46420437,0,576,2.13819766,2.65812421,576,2.1901648,0
577,1.46416799,0,577,2.14072299,2.6616075,577,2.1891408,0
578,1.46413181,0,578,2.14275765,2.66444135,578,2.18811679,0
579,1.46409584,0,579,2.14747381,2.66855812,579,2.18709278,0
580,1.46406,0,580,2.15000987,2.67061901,580,2.18606877,0
581,1.46402434,0,581,2.15226197,2.67473578,581,2.18555,0
582,1.46398887,0,582,2.15572739,2.67823052,582,2.18503122,0
583,1.46395352,0,583,2.15844417,2.68007159,583,2.18451245,0
584,1.46391838,0,584,2.16268396,2.68536496,584,2.18399367,0
585,1.46388344,0,585,2.16442299,2.68749261,585,2.1834749,0
586,1.46384861,0,586,2.16737628,2.68996239,586,2.18295612,0
587,1.46381397,0,587,2.17115164,2.69399476,587,2.18243735,0
588,1.46377945,0,588,2.17256379,2.69661784,588,2.18191857,0
589,1.46374515,0,589,2.17673016,2.70049334,589,2.1813998,0
590,1.46371093,0,590,2.17998195,2.70349789,590,2.18088102,0
591,1.46367697,0,591,2.18280625,2.70659637,591,2.18025537,0
592,1.46364311,0,592,2.18477964,2.70984411,592,2.17962971,0
593,1.46360945,0,593,2.18883038,2.71166301,593,2.17900405,0
594,1.4635759,0,594,2.19213605,2.71553969,594,2.17837839,0
595,1.46354247,0,595,2.19473791,2.71897054,595,2.17775273,0
596,1.46350929,0,596,2.19616127,2.72129989,596,2.17712708,0
597,1.46347622,0,597,2.20107007,2.72609186,597,2.17650142,0
598,1.46344327,0,598,2.20369387,2.72817397,598,2.17587576,0
599,1.46341048,0,599,2.20778537,2.73180246,599,2.1752501,0
600,1.46337788,0,600,2.2111268,2.7335422,600,2.17462444,0
601,1.46334547,0,601,2.21272755,2.73746467,601,2.17387102,0
602,1.46331308,0,602,2.21635604,2.74005079,602,2.17311759,0
603,1.46328094,0,603,2.2193799,2.74307799,603,2.17236416,0
604,1.46324891,0,604,2.22162294,2.74705005,604,2.17161074,0
605,1.46321699,0,605,2.22590995,2.74856973,605,2.17085731,0
606,1.4631853,0,606,2.22745776,2.75290179,606,2.17010388,0
607,1.46315364,0,607,2.23096395,2.75567126,607,2.16935046,0
608,1.46312224,0,608,2.23328424,2.75756454,608,2.16859703,0
609,1.46309093,0,609,2.23591542,2.7616415,609,2.1678436,0
610,1.46305972,0,610,2.24039507,2.7652638,610,2.16709018,0
611,1.46302868,0,611,2.24133301,2.76723099,611,2.16681182,0
612,1.46299774,0,612,2.24638724,2.77001691,612,2.16653347,0
613,1.46296703,0,613,2.24847651,2.77322984,613,2.16625512,0
614,1.46293634,0,614,2.25001812,2.77568841,614,2.16597676,0
615,1.46290584,0,615,2.25468135,2.77950191,615,2.16569841,0
616,1.46287552,0,616,2.25562668,2.78202224,616,2.16542006,0
617,1.4628453,0,617,2.25876164,2.7844975,617,2.1651417,0
618,1.46281522,0,618,2.26397705,2.78825331,618,2.16486335,0
619,1.46278524,0,619,2.2651453,2.79031873,619,2.16458499,0
620,1.46275535,0,620,2.26988745,2.79411602,620,2.16430664,0
621,1.46272569,0,621,2.27142382,2.79682088,621,2.1635905,0
622,1.46269604,0,622,2.27389884,2.79961228,622,2.16287436,0
